# Time	z_disp	vz_disp
2842.860	0.968	78.564
2857.140	0.954	78.187
2871.430	0.962	78.024
2885.710	0.959	77.588
2900.000	0.968	78.676
2914.290	0.972	77.992
2928.570	0.969	78.631
2942.860	0.976	78.367
2957.140	0.976	77.407
2971.430	0.982	78.409
2985.710	0.977	78.078
3000.000	0.977	78.109
3014.290	0.974	78.251
3028.570	0.979	77.926
3042.860	0.983	78.380
3057.140	0.983	78.642
3071.430	0.989	78.211
3085.710	0.980	78.963
3100.000	0.982	78.623
3114.290	0.989	77.859
3128.570	0.988	78.735
3142.860	0.985	78.170
3157.140	0.990	78.101
3171.430	1.001	78.764
3185.710	0.994	78.669
3200.000	0.993	79.001
3214.290	0.997	78.765
3228.570	1.007	78.595
3242.860	1.013	78.622
3257.140	1.008	78.374
3271.430	1.013	78.902
3285.710	1.019	77.849
3300.000	1.015	78.691
3314.290	1.024	77.919
3328.570	1.016	79.141
3342.860	1.017	78.845
3357.140	1.028	78.350
3371.430	1.023	79.251
3385.710	1.023	78.442
3400.000	1.021	78.589
3414.290	1.020	78.298
3428.570	1.018	79.175
3442.860	1.019	78.614
3457.140	1.021	79.078
3471.430	1.021	79.091
3485.710	1.018	79.221
3500.000	1.018	78.931
3514.290	1.015	79.268
3528.570	1.018	79.588
3542.860	1.028	78.658
3557.140	1.016	79.015
3571.430	1.022	79.332
3585.710	1.018	78.702
3600.000	1.019	78.731
3614.290	1.021	78.229
3628.570	1.023	79.455
3642.860	1.027	79.038
3657.140	1.032	79.499
3671.430	1.019	79.744
3685.710	1.032	79.270
3700.000	1.041	79.125
3714.290	1.035	79.486
3728.570	1.040	78.692
3742.860	1.035	78.731
3757.140	1.041	78.877
3771.430	1.034	78.898
3785.710	1.039	79.227
3800.000	1.041	79.068
3814.290	1.037	79.324
3828.570	1.051	79.254
3842.860	1.047	79.434
3857.140	1.039	79.475
3871.430	1.046	78.788
3885.710	1.058	79.299
3900.000	1.079	79.220
3914.290	1.106	79.836
3928.570	1.170	80.079
3942.860	1.252	80.464
3957.140	1.352	80.014
3971.430	1.467	80.734
3985.710	1.626	80.780
4000.000	1.821	81.549
4014.290	1.997	81.649
4028.570	2.158	81.402
4042.860	2.157	81.540
4057.140	2.105	82.336
4071.430	2.163	82.562
4085.710	2.134	83.185
4100.000	1.999	83.656
4114.290	1.796	83.976
4128.570	1.801	83.924
4142.860	1.772	83.851
4157.140	1.736	84.020
4171.430	1.743	83.650
4185.710	1.771	84.028
4200.000	1.812	84.612
4214.290	1.840	83.844
4228.570	1.881	84.069
4242.860	1.976	84.165
4257.140	2.061	83.716
4271.430	2.064	84.412
4285.710	2.099	84.283
4300.000	2.337	84.384
4314.290	2.279	83.968
4328.570	2.306	84.662
4342.860	2.337	84.743
4357.140	2.317	84.365
4371.430	2.241	84.278
4385.710	2.330	84.681
4400.000	2.385	84.988
4414.290	2.437	85.263
4428.570	2.480	85.462
4442.860	2.497	84.992
4457.140	2.479	84.793
4471.430	2.602	85.729
4485.710	2.563	85.541
4500.000	2.629	85.928
4514.290	2.635	85.518
4528.570	2.781	85.571
4542.860	2.723	85.838
4557.140	2.739	85.449
4571.430	2.792	86.497
4585.710	2.739	86.108
4600.000	2.690	85.788
4614.290	2.767	85.462
4628.570	2.782	85.310
4642.860	2.785	85.916
4657.140	2.795	85.321
4671.430	2.715	85.490
4685.710	2.681	85.512
4700.000	2.652	85.335
4714.290	2.650	85.878
4728.570	2.560	85.245
4742.860	2.507	85.747
4757.140	2.498	86.109
4771.430	2.431	85.818
4785.710	2.403	85.382
4800.000	2.374	86.262
4814.290	2.396	86.255
4828.570	2.327	85.307
4842.860	2.320	85.900
4857.140	2.377	85.705
4871.430	2.319	84.982
4885.710	2.346	85.483
4900.000	2.328	85.136
4914.290	2.331	85.773
4928.570	2.330	85.367
4942.860	2.246	84.911
4957.140	2.235	85.661
4971.430	2.191	85.680
4985.710	2.240	85.630
5000.000	2.245	85.424
5014.290	2.254	86.536
5028.570	2.267	86.098
5042.860	2.282	84.965
5057.140	2.286	85.298
5071.430	2.293	85.292
5085.710	2.326	85.195
5100.000	2.312	84.341
5114.290	2.320	84.797
5128.570	2.319	85.380
5142.860	2.296	85.249
5157.140	2.265	85.188
5171.430	2.300	85.871
5185.710	2.255	85.197
5200.000	2.261	85.046
5214.290	2.307	85.152
5228.570	2.381	85.464
5242.860	2.317	84.565
5257.140	2.311	84.853
5271.430	2.332	85.330
5285.710	2.309	85.299
5300.000	2.266	85.516
5314.290	2.192	85.646
5328.570	2.229	85.871
5342.860	2.207	86.624
5357.140	2.215	86.552
5371.430	2.209	86.063
5385.710	2.184	86.895
5400.000	2.235	86.332
5414.290	2.243	86.369
5428.570	2.230	85.661
5442.860	2.269	85.560
5457.140	2.279	85.434
5471.430	2.288	86.011
5485.710	2.351	85.576
5500.000	2.342	86.559
5514.290	2.390	86.584
5528.570	2.397	86.019
5542.860	2.410	86.384
5557.140	2.339	86.988
5571.430	2.381	86.599
5585.710	2.401	86.088
5600.000	2.393	85.306
5614.290	2.430	86.054
5628.570	2.459	85.386
5642.860	2.461	85.653
5657.140	2.601	86.379
5671.430	2.458	86.381
5685.710	2.853	88.506
5700.000	2.595	86.629
5714.290	2.516	86.808
5728.570	2.450	86.244
5742.860	2.509	87.704
5757.140	2.671	88.266
5771.430	2.585	87.577
5785.710	2.640	87.898
5800.000	2.830	88.710
5814.290	3.007	89.765
5828.570	3.258	92.048
5842.860	3.530	95.981
5857.140	3.565	107.321
5871.430	3.601	118.474
5885.710	3.363	106.304
5900.000	3.910	110.724
5914.290	4.089	97.582
5928.570	4.311	101.162
5942.860	4.779	102.986
5957.140	4.887	101.673
5971.430	5.795	107.253
5985.710	4.852	97.899
6000.000	5.060	98.797
6014.290	4.030	94.065
6028.570	4.463	96.801
6042.860	4.471	97.570
6057.140	4.070	96.892
6071.430	4.204	97.753
6085.710	3.999	98.387
6100.000	4.122	102.220
6114.290	3.977	102.048
6128.570	3.766	102.000
6142.860	4.005	104.192
6157.140	4.011	104.343
6171.430	3.891	105.133
6185.710	4.210	107.565
6200.000	4.314	115.411
6214.290	4.203	117.808
6228.570	5.146	163.722
6242.860	4.897	170.395
6257.140	5.708	178.879
6271.430	6.798	180.836
6285.710	7.559	176.475
6300.000	6.755	147.833
6314.290	7.124	183.013
6328.570	7.998	165.926
6342.860	7.851	158.179
6357.140	8.307	161.260
6371.430	7.408	158.951
6385.710	7.346	160.258
6400.000	6.879	154.487
6414.290	6.584	150.192
6428.570	7.226	163.359
6442.860	6.740	163.078
6457.140	6.995	174.726
6471.430	6.791	177.069
6485.710	6.898	175.815
6500.000	6.978	171.502
6514.290	7.190	174.065
6528.570	7.017	169.597
6542.860	6.898	167.331
6557.140	6.946	169.171
6571.430	6.950	170.911
6585.710	7.214	177.449
6600.000	6.808	167.193
6614.290	7.222	172.853
6628.570	7.024	165.349
6642.860	7.417	166.780
6657.140	7.611	167.271
6671.430	7.598	165.775
6685.710	7.623	165.740
6700.000	7.417	164.153
6714.290	7.321	165.015
6728.570	7.613	173.243
6742.860	7.528	172.220
6757.140	7.561	178.820
6771.430	7.709	176.644
6785.710	7.821	178.209
6800.000	7.791	175.572
6814.290	7.825	174.165
6828.570	7.952	177.412
6842.860	7.786	172.879
6857.140	7.952	176.168
6871.430	7.961	174.422
6885.710	8.052	175.910
6900.000	8.140	178.733
6914.290	7.886	176.096
6928.570	8.134	177.346
6942.860	7.916	175.699
6957.140	8.150	177.354
6971.430	8.173	176.528
6985.710	8.058	179.787
7000.000	8.083	180.075
7014.290	8.032	181.727
7028.570	8.027	181.550
7042.860	7.965	180.880
7057.140	7.973	181.040
7071.430	8.085	184.262
7085.710	8.007	181.207
7100.000	8.061	180.683
7114.290	7.998	184.472
7128.570	7.964	186.121
7142.860	8.100	183.823
7157.140	8.183	182.665
7171.430	8.172	181.841
7185.710	8.112	182.545
7200.000	8.219	183.330
7214.290	8.292	181.604
7228.570	8.225	178.587
7242.860	8.258	181.058
7257.140	8.379	182.032
7271.430	8.409	178.988
7285.710	8.284	179.332
7300.000	8.189	179.079
7314.290	8.241	183.660
7328.570	8.240	184.341
7342.860	8.180	186.096
7357.140	8.215	183.519
7371.430	8.152	180.135
7385.710	8.267	183.085
7400.000	8.273	183.745
7414.290	8.373	184.525
7428.570	8.344	184.757
7442.860	8.469	185.506
7457.140	8.451	185.671
7471.430	8.360	188.388
7485.710	8.390	186.750
7500.000	8.351	187.837
7514.290	8.524	186.723
7528.570	8.558	188.815
7542.860	8.543	188.984
7557.140	8.540	186.418
7571.430	8.600	186.053
7585.710	8.551	184.998
7600.000	8.666	186.774
7614.290	8.594	187.640
7628.570	8.512	186.523
7642.860	8.482	186.670
7657.140	8.360	187.669
7671.430	8.411	186.264
7685.710	8.346	184.143
7700.000	8.354	182.919
7714.290	8.335	185.253
7728.570	8.365	187.248
7742.860	8.331	186.265
7757.140	8.342	185.767
7771.430	8.518	182.350
7785.710	8.533	181.823
7800.000	8.477	183.783
7814.290	8.554	184.228
7828.570	8.488	183.755
7842.860	8.402	185.709
7857.140	8.397	188.107
7871.430	8.461	187.842
7885.710	8.372	186.665
7900.000	8.454	185.261
7914.290	8.432	185.802
7928.570	8.405	186.438
7942.860	8.327	187.473
7957.140	8.440	187.619
7971.430	8.351	186.470
7985.710	8.497	188.791
8000.000	8.299	187.001
8014.290	8.420	185.907
8028.570	8.477	184.606
8042.860	8.373	181.319
8057.140	8.503	181.993
8071.430	8.532	184.596
8085.710	8.440	185.967
8100.000	8.361	183.535
8114.290	8.355	187.260
8128.570	8.297	186.135
8142.860	8.222	184.470
8157.140	8.140	183.624
8171.430	8.226	183.450
8185.710	8.251	182.006
8200.000	8.066	182.086
8214.290	8.077	182.195
8228.570	8.179	183.230
8242.860	8.200	183.498
8257.140	8.139	183.019
8271.430	8.184	182.047
8285.710	8.089	181.371
8300.000	8.151	180.046
8314.290	8.196	182.862
8328.570	8.150	180.802
8342.860	8.165	180.663
8357.140	8.221	181.850
8371.430	8.195	180.792
8385.710	8.129	180.275
8400.000	8.125	180.268
8414.290	7.923	179.334
8428.570	8.038	181.777
8442.860	8.096	181.149
8457.140	8.200	181.680
8471.430	8.104	183.251
8485.710	8.167	182.675
8500.000	8.153	181.957
8514.290	8.204	182.506
8528.570	8.125	180.512
8542.860	8.260	181.801
8557.140	8.206	181.058
