# Time	z_disp	vz_disp
0.00	0.69	56.35
14.29	0.71	56.30
28.57	0.70	56.33
42.86	0.71	56.54
57.14	0.71	56.95
71.43	0.71	57.21
85.71	0.72	57.49
100.00	0.72	57.44
114.29	0.73	57.55
128.57	0.72	57.58
142.86	0.73	57.87
157.14	0.73	58.59
171.43	0.73	57.92
185.71	0.75	57.52
200.00	0.75	58.21
214.29	0.75	58.17
228.57	0.76	58.43
242.86	0.76	58.68
257.14	0.76	59.33
271.43	0.77	59.18
285.71	0.77	59.49
300.00	0.77	59.34
314.29	0.78	59.81
328.57	0.78	59.59
342.86	0.79	59.80
357.14	0.78	59.56
371.43	0.79	60.47
385.71	0.79	60.61
400.00	0.78	60.30
414.29	0.79	60.28
428.57	0.79	60.29
442.86	0.79	60.71
457.14	0.79	61.00
471.43	0.79	60.82
485.71	0.80	61.03
500.00	0.79	60.93
514.29	0.80	61.37
528.57	0.80	61.27
542.86	0.80	61.39
557.14	0.80	61.38
571.43	0.81	61.99
585.71	0.81	61.85
600.00	0.81	62.13
614.29	0.81	62.56
628.57	0.82	61.93
642.86	0.82	62.06
657.14	0.83	62.78
671.43	0.84	62.18
685.71	0.84	62.21
700.00	0.83	62.21
714.29	0.84	62.24
728.57	0.84	63.14
742.86	0.83	63.23
757.14	0.84	63.23
771.43	0.84	63.41
785.71	0.83	63.17
800.00	0.84	63.47
814.29	0.84	63.10
828.57	0.85	63.39
842.86	0.85	63.69
857.14	0.85	63.23
871.43	0.85	63.95
885.71	0.84	63.93
900.00	0.85	63.91
914.29	0.86	63.91
928.57	0.86	64.27
942.86	0.86	64.44
957.14	0.86	64.45
971.43	0.87	64.17
985.71	0.87	64.63
1000.00	0.88	64.53
1014.29	0.88	64.36
1028.57	0.89	64.31
1042.86	0.89	64.64
1057.14	0.89	64.93
1071.43	0.88	65.27
1085.71	0.89	65.19
1100.00	0.89	64.92
1114.29	0.88	64.76
1128.57	0.90	65.15
1142.86	0.89	65.27
1157.14	0.89	65.70
1171.43	0.90	65.80
1185.71	0.90	65.19
1200.00	0.90	65.07
1214.29	0.90	65.60
1228.57	0.91	65.31
1242.86	0.90	65.23
1257.14	0.90	65.80
1271.43	0.91	65.86
1285.71	0.90	65.54
1300.00	0.90	66.26
1314.29	0.90	66.48
1328.57	0.90	66.13
1342.86	0.90	66.05
1357.14	0.91	66.04
1371.43	0.91	66.61
1385.71	0.91	66.66
1400.00	0.91	66.22
1414.29	0.92	66.37
1428.57	0.92	66.34
